# LANCTL error catalog - generated; do not edit manually
# FORMAT: ERROR_ID | LEVEL | SOURCE_FILE | LINE | ORIGIN | KIND
# Static IDs derive from semantic points; literal runtime events use origin + code
0e085BFB3C | 36 | src/lanctl/apps/wire/cli/commands.py | 226 | src.lanctl.apps.wire.cli.commands.CommandProcessor._idf_command | raise
0e08CCBEAB | 43 | src/lanctl/core/group_database.py | 77 | src.lanctl.core.group_database.recover_device_group_transaction | raise
0e09015433 | 43 | src/lanctl/core/projects/workspace.py | 160 | src.lanctl.core.projects.workspace.prepare_project_workspace | raise
0e0945F7CB | 16 | src/lanctl/apps/access/root_control.py | 55 | src.lanctl.apps.access.root_control.interface_status | diagnostic
0e09E38146 | 43 | src/lanctl/core/group_database.py | 337 | src.lanctl.core.group_database.GroupDatabase.delete_device | raise
0e09FA6901 | 47 | src/lanctl/core/plugins/isolated_runtime.py | 166 | src.lanctl.core.plugins.isolated_runtime._install_security_policy.violation | raise
0e0A194511 | 48 | src/lanctl/apps/wire/idf/database.py | 370 | src.lanctl.apps.wire.idf.database.IDFDatabaseManager._validate_database | raise
0e0A6C234E | 36 | src/lanctl/apps/ip/interfaces/gui/theme.py | 58 | src.lanctl.apps.ip.interfaces.gui.theme.validate_theme_specification | raise
0e0A7EC6E9 | 36 | src/lanctl/apps/wire/idf/database.py | 259 | src.lanctl.apps.wire.idf.database.IDFDatabaseManager.edit_port.edit | raise
0e0A8F6244 | 31 | src/lanctl/apps/ip/interfaces/cli/commands/settings.py | 444 | src.lanctl.apps.ip.interfaces.cli.commands.settings.run_settings | raise
0e0B1B01FD | 14 | src/lanctl/shared/i18n.py | 429 | src.lanctl.shared.i18n.initialize_language | diagnostic
0e0B6E7E13 | 33 | src/lanctl/core/log_cleanup.py | 26 | src.lanctl.core.log_cleanup.cleanup_old_logs | raise
0e0B83AA07 | 12 | src/lanctl/apps/ip/infrastructure/services/network_discovery.py | 52 | LANCTL.Discovery.Multicast.Receive | diagnostic
0e0B844615 | 33 | src/lanctl/apps/ip/interfaces/cli/commands/ping.py | 91 | src.lanctl.apps.ip.interfaces.cli.commands.ping.run_ping | raise
0e0B968FBA | 33 | src/lanctl/apps/ip/interfaces/tui/layout.py | 92 | src.lanctl.apps.ip.interfaces.tui.layout.normalize_cli_percent | raise
0e0C3B2D9C | 43 | src/lanctl/apps/monitor/scheduler.py | 28 | src.lanctl.apps.monitor.scheduler.MonitorWorkerPool.__init__ | raise
0e0C46BABB | 36 | src/lanctl/apps/ip/interfaces/cli/main.py | 195 | src.lanctl.apps.ip.interfaces.cli.main.main | raise
0e0C501A8C | 47 | src/lanctl/core/plugins/smb_runtime.py | 261 | src.lanctl.core.plugins.smb_runtime.SMBNative._linux_shares | raise
0e0C6B2D8D | 38 | src/lanctl/apps/ip/interfaces/tui/main.py | 2288 | src.lanctl.apps.ip.interfaces.tui.main.LanctlTui._manual_save | diagnostic
0e0CA3D0A6 | 43 | src/lanctl/core/group_database.py | 218 | src.lanctl.core.group_database.GroupDatabase._require_editable | raise
0e0CDA2D6A | 45 | src/lanctl/core/plugins/api.py | 133 | src.lanctl.core.plugins.api._PluginEvents.emit | raise
0e0CE0D4FF | 47 | src/lanctl/core/plugins/events.py | 59 | src.lanctl.core.plugins.events.EventRegistry.get | raise
0e0D22392A | 36 | src/lanctl/apps/ip/__main__.py | 4 | src.lanctl.apps.ip.__main__ | raise
0e0D2CEBFC | 46 | src/lanctl/apps/monitor/lifecycle.py | 140 | src.lanctl.apps.monitor.lifecycle._windows_process_identity | raise
0e0D852AD9 | 31 | src/lanctl/apps/ip/interfaces/cli/commands/monitor.py | 232 | src.lanctl.apps.ip.interfaces.cli.commands.monitor._incident_action | raise
0e0D9F00E3 | 47 | src/lanctl/core/plugins/package.py | 75 | src.lanctl.core.plugins.package.install_package | raise
0e0DAE056A | 43 | src/lanctl/core/credentials.py | 57 | src.lanctl.core.credentials.protect_secret | raise
0e0E037CDE | 43 | src/lanctl/core/database.py | 641 | src.lanctl.core.database.DeviceDatabase.add_device | raise
0e0E085033 | 34 | src/lanctl/core/parser.py | 119 | src.lanctl.core.parser.LANCTLArgumentParser.error | print-error
0e0E2D0CAF | 42 | src/lanctl/core/plugins/scanners.py | 45 | src.lanctl.core.plugins.scanners.run_scanner_extensions | diagnostic
0e0E63CBB9 | 36 | src/lanctl/infrastructure/platform/linux.py | 72 | src.lanctl.infrastructure.platform.linux._systemd_quote | raise
0e0E79C2EF | 33 | src/lanctl/core/plugins/publishers.py | 60 | src.lanctl.core.plugins.publishers.TrustedPublisherStore._read | raise
0e0E8D6B2A | 31 | src/lanctl/apps/ip/interfaces/cli/commands/access.py | 194 | src.lanctl.apps.ip.interfaces.cli.commands.access.run_access | raise
0e0EE2327B | 47 | src/lanctl/core/plugins/functions.py | 28 | src.lanctl.core.plugins.functions.FunctionRegistry.register | raise
0e0FA2A403 | 32 | src/lanctl/apps/ip/infrastructure/cisco/planner.py | 47 | src.lanctl.apps.ip.infrastructure.cisco.planner.CiscoPlanner.plan | raise
0e0FA5ADF7 | 43 | src/lanctl/core/projects/vlf.py | 397 | src.lanctl.core.projects.vlf.verify_project | raise
0e0FB8E4F7 | 35 | src/lanctl/apps/ip/infrastructure/protocols/ssh.py | 233 | src.lanctl.apps.ip.infrastructure.protocols.ssh.run_remote_command | raise
0e0FFDF0E9 | 48 | src/lanctl/core/plugins/package.py | 93 | src.lanctl.core.plugins.package.build_package | raise
0e101AB025 | 42 | src/lanctl/apps/ip/interfaces/gui/main.py | 925 | src.lanctl.apps.ip.interfaces.gui.main.run_gui | raise
0e107DD483 | 33 | src/lanctl/apps/wire/idf/idf.py | 45 | src.lanctl.apps.wire.idf.idf.IDF.__post_init__ | raise
0e10AEA0B5 | 14 | src/lanctl/apps/ip/infrastructure/services/lan_scanner.py | 63 | src.lanctl.apps.ip.infrastructure.services.lan_scanner.local_ipv4 | diagnostic
0e11F74D83 | 47 | src/lanctl/core/plugins/theme.py | 65 | src.lanctl.core.plugins.theme.validate_theme_specification | raise
0e1218E8AB | 36 | src/lanctl/apps/wire/idf/database.py | 383 | src.lanctl.apps.wire.idf.database.IDFDatabaseManager._validate_database | raise
0e125FA8C6 | 36 | src/lanctl/shared/i18n.py | 203 | src.lanctl.shared.i18n.LanguageManager.load_file | raise
0e13571506 | 43 | src/lanctl/core/projects/vlf.py | 615 | src.lanctl.core.projects.vlf._safe_archive | raise
0e13635699 | 41 | src/lanctl/apps/ip/infrastructure/protocols/radmin.py | 161 | src.lanctl.apps.ip.infrastructure.protocols.radmin.launch | raise
0e1381603A | 36 | src/lanctl/apps/ip/interfaces/gui/main.py | 228 | src.lanctl.apps.ip.interfaces.gui.main.GuiApi.update_device.operation | raise
0e1495B958 | 33 | src/lanctl/core/plugins/package.py | 197 | src.lanctl.core.plugins.package.safe_package | raise
0e15557414 | 43 | src/lanctl/core/projects/vlf.py | 79 | src.lanctl.core.projects.vlf.create_project | raise
0e15C2773F | 33 | src/lanctl/apps/ip/lab/scenario.py | 72 | src.lanctl.apps.ip.lab.scenario.generate_scenario | raise
0e15DD2967 | 33 | src/lanctl/apps/ip/infrastructure/cisco/planner.py | 40 | src.lanctl.apps.ip.infrastructure.cisco.planner.CiscoPlanner._validate | raise
0e15F2ABDD | 32 | src/lanctl/apps/ip/interfaces/cli/commands/wol.py | 209 | LANCTL.WOL.Resolve.Device | diagnostic
0e15F674DF | 32 | src/lanctl/core/group_database.py | 186 | src.lanctl.core.group_database.GroupDatabase.edit_device_fields | raise
0e16103153 | 43 | src/lanctl/core/projects/vlf.py | 691 | src.lanctl.core.projects.vlf._read_json_entry | raise
0e1620FA99 | 33 | src/lanctl/core/query.py | 35 | src.lanctl.core.query.matches_query | raise
0e164EE506 | 41 | src/lanctl/core/parser.py | 120 | src.lanctl.core.parser.LANCTLArgumentParser.error | exit
0e168C3BE0 | 33 | src/lanctl/apps/ip/domain/models/device.py | 300 | src.lanctl.apps.ip.domain.models.device.Device.__getitem__ | raise
0e16AEE8EE | 31 | src/lanctl/apps/ip/interfaces/cli/commands/open.py | 126 | src.lanctl.apps.ip.interfaces.cli.commands.open.run_open | raise
0e16C7CAEA | 43 | src/lanctl/core/projects/vlf.py | 401 | src.lanctl.core.projects.vlf.verify_project | raise
0e16D3ECF8 | 36 | src/lanctl/apps/access/https_server.py | 170 | src.lanctl.apps.access.https_server.HttpsAccessServer.__init__.Handler._body | raise
0e172C999B | 48 | src/lanctl/core/plugins/ui_contracts.py | 48 | src.lanctl.core.plugins.ui_contracts.validate_ui_action | raise
0e17745A91 | 14 | src/lanctl/core/plugins/manager.py | 320 | src.lanctl.core.plugins.manager.PluginManager.disable | diagnostic
0e178032B4 | 42 | src/lanctl/core/device_retention.py | 39 | src.lanctl.core.device_retention.normalize_retention_target | raise
0e17A2FD97 | 36 | src/lanctl/apps/ip/interfaces/gui/theme.py | 65 | src.lanctl.apps.ip.interfaces.gui.theme.validate_theme_specification | raise
0e186AFA2F | 33 | src/lanctl/core/plugins/api.py | 322 | src.lanctl.core.plugins.api._PluginMonitor.write_metric | raise
0e18A9634E | 36 | src/lanctl/apps/ip/interfaces/tui/main.py | 3569 | src.lanctl.apps.ip.interfaces.tui.main._translate_tui_element | raise
0e18AA9FA1 | 37 | src/lanctl/apps/ip/infrastructure/services/element_scanner.py | 429 | src.lanctl.apps.ip.infrastructure.services.element_scanner.ElementScanner.__init__ | raise
0e18B9F5B2 | 33 | src/lanctl/apps/wire/cli/commands.py | 355 | src.lanctl.apps.wire.cli.commands.CommandProcessor._add_options | raise
0e1974DB5E | 31 | src/lanctl/apps/wire/cli/commands.py | 283 | src.lanctl.apps.wire.cli.commands.CommandProcessor._element_command | raise
0e19F24CA6 | 31 | src/lanctl/apps/wire/cli/commands.py | 163 | src.lanctl.apps.wire.cli.commands.CommandProcessor._idf_command | raise
0e1A035F26 | 31 | src/lanctl/apps/wire/topology.py | 216 | src.lanctl.apps.wire.topology.build_ports | raise
0e1A0A7F0B | 31 | src/lanctl/apps/ip/interfaces/cli/commands/monitor.py | 675 | src.lanctl.apps.ip.interfaces.cli.commands.monitor._run_monitor_action | raise
0e1A16EB01 | 36 | src/lanctl/shared/i18n.py | 181 | src.lanctl.shared.i18n.LanguageManager.discover | raise
0e1AE8C6ED | 46 | src/lanctl/apps/ip/interfaces/tui/clipboard.py | 14 | src.lanctl.apps.ip.interfaces.tui.clipboard.copy_text | raise
0e1B8B0CAF | 33 | src/lanctl/apps/ip/interfaces/cli/commands/settings.py | 422 | src.lanctl.apps.ip.interfaces.cli.commands.settings.run_settings | raise
0e1C107592 | 31 | src/lanctl/apps/wire/cli/commands.py | 173 | src.lanctl.apps.wire.cli.commands.CommandProcessor._idf_command | raise
0e1C1D5ADC | 33 | src/lanctl/core/plugins/manager.py | 489 | src.lanctl.core.plugins.manager.PluginManager._activate | raise
0e1C7305CF | 46 | src/lanctl/apps/access/https_server.py | 281 | src.lanctl.apps.access.https_server.HttpsAccessServer.__init__.Handler.do_POST | diagnostic
0e1CA3F3D1 | 36 | src/lanctl/apps/ip/interfaces/gui/main.py | 555 | src.lanctl.apps.ip.interfaces.gui.main.GuiApi.get_history.operation | raise
0e1CBDCE30 | 18 | src/lanctl/apps/monitor/scheduler.py | 119 | LANCTL.Monitor.Scheduler.Task | diagnostic
0e1DBCE5F5 | 24 | src/lanctl/apps/ip/interfaces/tui/main.py | 870 | LANCTL.Project.Catalog.Refresh | diagnostic
0e1DBE6023 | 33 | src/lanctl/apps/ip/interfaces/cli/commands/wol.py | 519 | src.lanctl.apps.ip.interfaces.cli.commands.wol._configure_power | raise
0e1DC0662F | 35 | src/lanctl/apps/ip/infrastructure/protocols/ssh.py | 295 | src.lanctl.apps.ip.infrastructure.protocols.ssh.open_colored_interactive | raise
0e1DFE94EA | 48 | src/lanctl/core/plugins/ui_contracts.py | 35 | src.lanctl.core.plugins.ui_contracts.validate_ui_panel | raise
0e1E084EE9 | 36 | src/lanctl/apps/access/service.py | 158 | src.lanctl.apps.access.service.AccessService.disable | raise
0e1E13E6F0 | 41 | src/lanctl/apps/ip/interfaces/gui/main.py | 330 | src.lanctl.apps.ip.interfaces.gui.main.GuiApi.scan_network.operation | raise
0e1E61491D | 33 | src/lanctl/core/config.py | 578 | src.lanctl.core.config.normalize_dhcp_range | raise
0e1F3B4DE7 | 41 | src/lanctl/core/projects/save_policy.py | 307 | src.lanctl.core.projects.save_policy._verify_saved_workspace | raise
0e1FD22E29 | 33 | src/lanctl/core/query.py | 52 | src.lanctl.core.query.matches_query | raise
0e20987428 | 34 | src/lanctl/apps/ip/interfaces/cli/main.py | 292 | src.lanctl.apps.ip.interfaces.cli.main.main | print-error
0e20FB13F7 | 36 | src/lanctl/apps/wire/tui/app.py | 1283 | src.lanctl.apps.wire.tui.app.LanwireTui._execute_wire_side_action | raise
0e21054E99 | 33 | src/lanctl/apps/ip/infrastructure/protocols/ssh.py | 58 | src.lanctl.apps.ip.infrastructure.protocols.ssh.SshProfile.from_options | raise
0e2147902B | 34 | src/lanctl/apps/access/store.py | 78 | src.lanctl.apps.access.store.AccessStore.create_user.operation | raise
0e217E981A | 42 | src/lanctl/core/tr064.py | 56 | src.lanctl.core.tr064.Tr064Client._open | raise
0e21ABB82F | 42 | src/lanctl/core/tr064.py | 142 | src.lanctl.core.tr064.Tr064Client.call | raise
0e21C17C81 | 47 | src/lanctl/core/plugins/smb_runtime.py | 365 | src.lanctl.core.plugins.smb_runtime.SMBService.inspect | raise
0e2202AFA3 | 31 | src/lanctl/apps/wire/cli/commands.py | 327 | src.lanctl.apps.wire.cli.commands.CommandProcessor._element_field_label | raise
0e22762C44 | 36 | src/lanctl/apps/wire/idf/database.py | 316 | src.lanctl.apps.wire.idf.database.IDFDatabaseManager.delete.remove | raise
0e22F6C20D | 33 | src/lanctl/apps/ip/interfaces/cli/commands/settings.py | 360 | src.lanctl.apps.ip.interfaces.cli.commands.settings.run_settings | raise
0e2318220B | 36 | src/lanctl/apps/wire/idf/database.py | 147 | src.lanctl.apps.wire.idf.database.IDFDatabaseManager.define_prefix | raise
0e236E3C04 | 45 | src/lanctl/apps/ip/interfaces/gui/main.py | 284 | src.lanctl.apps.ip.interfaces.gui.main.GuiApi.delete_device.operation | raise
0e23935038 | 35 | src/lanctl/core/plugins/wol_runtime.py | 14 | src.lanctl.core.plugins.wol_runtime.validate_mac | raise
0e23E8A957 | 33 | src/lanctl/apps/wire/log.py | 98 | src.lanctl.apps.wire.log.cleanup_old_logs | raise
0e24195572 | 33 | src/lanctl/apps/monitor/configuration.py | 231 | src.lanctl.apps.monitor.configuration.ProfileManager.delete.remove | raise
0e245EBBD4 | 36 | src/lanctl/apps/ip/infrastructure/cisco/profiles.py | 51 | src.lanctl.apps.ip.infrastructure.cisco.profiles.load_profiles | raise
0e24AA515C | 33 | src/lanctl/apps/wire/error.py | 36 | src.lanctl.apps.wire.error.Error.__init__ | raise
0e24ED870C | 33 | src/lanctl/apps/monitor/operations.py | 19 | src.lanctl.apps.monitor.operations.BoundedRunner.run | raise
0e255EA741 | 46 | src/lanctl/core/tr064.py | 58 | src.lanctl.core.tr064.Tr064Client._open | raise
0e259680E2 | 43 | src/lanctl/core/projects/vlf.py | 623 | src.lanctl.core.projects.vlf._safe_archive | raise
0e25B844C1 | 31 | src/lanctl/apps/ip/interfaces/cli/commands/group.py | 63 | src.lanctl.apps.ip.interfaces.cli.commands.group.run_group | raise
0e26475D84 | 47 | src/lanctl/core/plugins/smb_runtime.py | 187 | src.lanctl.core.plugins.smb_runtime.SMBNative.connect | raise
0e26B48B3D | 41 | src/lanctl/core/file_transaction.py | 81 | src.lanctl.core.file_transaction.InterProcessLock.release | raise
0e26BD86FE | 33 | src/lanctl/apps/monitor/configuration.py | 227 | src.lanctl.apps.monitor.configuration.ProfileManager.delete | raise
0e278FA162 | 46 | src/lanctl/apps/access/ssh_server.py | 243 | src.lanctl.apps.access.ssh_server.SshAccessServer._execute | return-error
0e27A0F397 | 39 | src/lanctl/apps/ip/interfaces/tui/main.py | 3589 | src.lanctl.apps.ip.interfaces.tui.main._TuiScanProgress._check_cancelled | raise
0e282442F4 | 36 | src/lanctl/shared/i18n.py | 205 | src.lanctl.shared.i18n.LanguageManager.load_file | raise
0e28252057 | 33 | src/lanctl/apps/ip/interfaces/cli/commands/monitor.py | 283 | src.lanctl.apps.ip.interfaces.cli.commands.monitor._profile_action | raise
0e283BA8F7 | 32 | src/lanctl/apps/ip/interfaces/cli/commands/ssh.py | 114 | src.lanctl.apps.ip.interfaces.cli.commands.ssh.run_ssh | raise
0e29345D88 | 36 | src/lanctl/apps/wire/tui/app.py | 1404 | src.lanctl.apps.wire.tui.app.LanwireTui._edit_or_save_field | raise
0e29F6E62C | 14 | src/lanctl/apps/ip/infrastructure/services/network_discovery.py | 66 | src.lanctl.apps.ip.infrastructure.services.network_discovery.multicast_discover | diagnostic
0e2A3E2303 | 45 | src/lanctl/apps/access/remote.py | 123 | src.lanctl.apps.access.remote.parse_remote_command | raise
0e2A4B3D50 | 43 | src/lanctl/core/database.py | 580 | src.lanctl.core.database.DeviceDatabase._edit_device_in_memory | raise
0e2ACA8C0B | 32 | src/lanctl/apps/monitor/database.py | 239 | src.lanctl.apps.monitor.database.SessionRepository.get | raise
0e2B662D48 | 43 | src/lanctl/core/group_database.py | 248 | src.lanctl.core.group_database.GroupDatabase.create | raise
0e2B76E968 | 37 | src/lanctl/apps/ip/infrastructure/services/element_scanner.py | 159 | src.lanctl.apps.ip.infrastructure.services.element_scanner.parse_ports | raise
